DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL,Symbol,Abundace,Symbol Key CM,Symbol Key S,Abundance Key S,Abunance Key P
Kerr-McGee,Titanium,Sedimentary related,36.116667,-88.183333,United States of America,Tennessee,Ti,0.565,,,,
Manchester,Titanium,Sedimentary related,39.983333,-74.35,United States of America,New Jersey,Ti,0.565,,,,
Natchez Trace,Titanium,Sedimentary related,35.833333,-88.2,United States of America,Tennessee,Ti,0.565,,,,
Oak Grove,Titanium,Sedimentary related,36.383333,-88.166667,United States of America,Tennessee,Ti,0.565,,,,
Piney River (Roseland) district,Titanium,Albititic/metasomatized,37.702,-79.023,United States of America,Virginia,Ti,0.565,,,,
Magnet Cove district,Titanium,Alkalic/metasomatized,34.455,-92.846,United States of America,Arkansas,Ti,0.565,,,,
Sanford Lake district,Titanium,Anorthosite-gabbro,44.055,-74.055,United States of America,New York,Ti,0.565,,,,
Old Hickory,Titanium,Sedimentary related,36.917,-77.566,United States of America,Virginia,Ti,0.565,,,,
Brink,Titanium,Sedimentary related,36.603,-77.578,United States of America,Virginia,Ti,0.565,,,,
Yadkin Valley,Titanium,Metamorphic,36.067,-81.55,United States of America,North Carolina,Ti,0.565,,,,
Halifax (Aurelian Springs),Titanium,Sedimentary related,36.358,-77.785,United States of America,North Carolina,Ti,0.565,,,,
Amelia,Titanium,Sedimentary related,31.575,-81.98,United States of America,Georgia,Ti,0.565,,,,
Laramie Range district,Titanium,Magmatic deposits in igneous and related rocks,41.6,-105.327,United States of America,Wyoming,Ti,0.565,,,,
Tucker Lake,Titanium,Magmatic deposits in igneous and related rocks,48.054,-90.608,United States of America,Minnesota,Ti,0.565,,,,
Horse Creek,Titanium,Sedimentary related,33.493,-81.893,United States of America,South Carolina,Ti,0.565,,,,
Folkston,Titanium,Sedimentary related,30.8501,-81.97985,United States of America,Georgia,Ti,0.565,,,,
Dinning,Titanium,Greenschist-hosted,39.7,-76.383,United States of America,Maryland,Ti,0.565,,,,
Windimurra,Vanadium,Vanadiferous Titanomagnetite,-28.35518333,118.8397333,Australia,,V,0.012,,,,
Balla Balla,Vanadium,Vanadiferous Titanomagnetite,-21.14332222,118.0638889,Australia,,V,0.012,,,,
"Central, Red Hill, Buckman",Vanadium,Vanadiferous Titanomagnetite,-16.47138889,128.2013889,Australia,,V,0.012,,,,
Gabanintha,Vanadium,Vanadiferous Titanomagnetite,-27.00173611,118.6045194,Australia,,V,0.012,,,,
Julia Creek,Vanadium,Shale-Hosted V,-20.64527778,141.7333333,Australia,,V,0.012,,,,
Mount Peake,Vanadium,Vanadiferous Titanomagnetite,-21.65888889,133.6625,Australia,,V,0.012,,,,
"Nalaqing, Gongshan, Damakan, Lanjian",Vanadium,Vanadiferous Titanomagnetite,26.65,102,China,,V,0.012,,,,
Luanping,Vanadium,Vanadiferous Titanomagnetite,41.498192,117.499199,China,,V,0.012,,,,
"Shan Yang, Zhong Cun",Vanadium,Vanadiferous Titanomagnetite,33.87138889,109.9402778,China,,V,0.012,,,,
"Maocaoping, Baiguoyuan",Vanadium,Shale-Hosted V,31.269444,111.0844444,China,,V,0.012,,,,
Singhbhum-Mayurbhanj,Vanadium,Vanadiferous Titanomagnetite,21.99946,86.000198,India,,V,0.012,,,,
Ganjang,Vanadium,Vanadiferous Titanomagnetite,26.15972222,93.33333333,India,,V,0.012,,,,
Shaltora,Vanadium,Vanadiferous Titanomagnetite,23.415991,86.916832,India,,V,0.012,,,,
Gusevogorsk,Vanadium,Vanadiferous Titanomagnetite,58.70060278,59.48671389,Russia,,V,0.012,,,,
Guseva Gora,Vanadium,Vanadiferous Titanomagnetite,58.70060278,59.48671389,Russia,,V,0.012,,,,
Yubryahkinskoe,Vanadium,Vanadiferous Titanomagnetite,59.93277778,59.1675,Russia,,V,0.012,,,,
Pervouralsk,Vanadium,Vanadiferous Titanomagnetite,56.89861111,59.53277778,Russia,,V,0.012,,,,
Lysanovskoe,Vanadium,Vanadiferous Titanomagnetite,53.997742,93.999962,Russia,,V,0.012,,,,
Kharlovskoe,Vanadium,Vanadiferous Titanomagnetite,51.997799,81.000488,Russia,,V,0.012,,,,
Kusinskoe,Vanadium,Vanadiferous Titanomagnetite,55.75111111,57.35166667,Russia,,V,0.012,,,,
Visean,Vanadium,Vanadiferous Titanomagnetite,52.997952,59.001339,Russia,,V,0.012,,,,
Svorantskoe,Vanadium,Vanadiferous Titanomagnetite,38.998531,46.001362,Azerbaijan,,V,0.012,,,,
Tsagin,Vanadium,Vanadiferous Titanomagnetite,67.99839,36.00322,Russia,,V,0.012,,,,
Afrikanda,Vanadium; Titanium,Vanadiferous Titanomagnetite; Magmatic deposits in igneous and related rocks,67.4167,32.6833,Russia,,"Ti, V",null,,,,
Koykara Koyarsk,Vanadium,Vanadiferous Titanomagnetite,60.99839,30.00264,Russia,,V,0.012,,,,
Yelet' ozero,Vanadium,Vanadiferous Titanomagnetite,67.06666667,34.20555556,Russia,,V,0.012,,,,
Pudozhgaraskoe,Vanadium,Vanadiferous Titanomagnetite,61.36666667,36.48333333,Russia,,V,0.012,,,,
Rivash,Vanadium,Vanadiferous Titanomagnetite,35.64055556,58.32777778,Iran,,V,0.012,,,,
Taberg,Vanadium,Vanadiferous Titanomagnetite,57.748669,14.16931,Sweden,,V,0.012,,,,
Ruoutevare,Vanadium,Vanadiferous Titanomagnetite,67.082077,17.503571,Sweden,,V,0.012,,,,
Viken,Vanadium,Shale-Hosted V,63.11666667,14.3622222,Sweden,,V,0.012,,,,
Häggån,Vanadium,Shale-Hosted V,63.5,12.73,Sweden,,V,0.012,,,,
Mustavaara,Vanadium,Vanadiferous Titanomagnetite,65.781792,27.986469,Finland,,V,0.012,,,,
Rodsand,Vanadium,Vanadiferous Titanomagnetite,62.848869,8.1198,Norway,,V,0.012,,,,
Stjernoy-Seiland,Vanadium,Vanadiferous Titanomagnetite,70.498718,23.004049,Norway,,V,0.012,,,,
Vantra,Vanadium,Vanadiferous Titanomagnetite,-25.63039444,27.781075,South Africa,,V,0.012,,,,
Mapochs mine,Vanadium,Vanadiferous Titanomagnetite,-25.2166,29.91667,South Africa,,V,0.012,,,,
Krokodilkraal mine,Vanadium,Vanadiferous Titanomagnetite,-25.604931,28.18474,South Africa,,V,0.012,,,,
Rhovan mine,Vanadium,Vanadiferous Titanomagnetite,-25.56777778,27.57472222,South Africa,,V,0.012,,,,
Green Giant,Vanadium,Shale-Hosted V,-24.69258611,44.74530278,Madagascar,,V,0.012,,,,
"Berg Aukas, Abenad, Tsumeb",Vanadium,Vanadate,-19.51361111,18.25111111,Namibia,,V,0.012,,,,
Broken Hill,Vanadium,Vanadate,-14.41583333,28.55055556,Zambia,,V,0.012,,,,
Bulawayo,Vanadium,Vanadate,-20.16916667,28.58166667,Zimbabwe,,V,0.012,,,,
Kafferskrall,Vanadium,Vanadate,-31.14666667,25.84972222,South Africa,,V,0.012,,,,
Lueca,Vanadium,Vanadate,-7.923333333,13.65333333,Angola,,V,0.012,,,,
Sept Îles,Vanadium,Vanadiferous Titanomagnetite,50.34111111,-66.50583333,Canada,,V,0.012,,,,
Lac Doré,Vanadium,Vanadiferous Titanomagnetite,49.76039167,-77.62431111,Canada,,V,0.012,,,,
Lac St. Jean,Vanadium,Vanadiferous Titanomagnetite,49.333302,-71.499413,Canada,,V,0.012,,,,
La Blache,Vanadium,Vanadiferous Titanomagnetite,50.05833333,-69.63388889,Canada,,V,0.012,,,,
Lake Michikamau,Vanadium,Vanadiferous Titanomagnetite,54.11972222,-63.98138889,Canada,,V,0.012,,,,
Ring of Fire,Vanadium,Vanadiferous Titanomagnetite,52.8,-86.5,Canada,,V,0.012,,,,
Banks Island,Vanadium,Vanadiferous Titanomagnetite,53.46611111,-130.1305556,Canada,,V,0.012,,,,
Porcher Island,Vanadium,Vanadiferous Titanomagnetite,53.99975,-130.25167,Canada,,V,0.012,,,,
Union Bay,Vanadium,Vanadiferous Titanomagnetite,55.766411,-132.101807,United States of America,Alaska,V,0.012,,,,
Klukwan Fan,Vanadium,Vanadiferous Titanomagnetite,59.42091,-135.88111,United States of America,Alaska,V,0.012,,,,
"Tahawus, MacIntyre",Vanadium,Vanadiferous Titanomagnetite,44,-74.08333333,United States of America,New York,V,0.012,,,,
Ossining,Vanadium,Vanadiferous Titanomagnetite,41.16666,-73.832893,United States of America,New York,V,0.012,,,,
Diana,Vanadium,Vanadiferous Titanomagnetite,44.149979,-75.249588,United States of America,New York,V,0.012,,,,
TiTac,Vanadium,Vanadiferous Titanomagnetite,47.57555556,-92.06944444,United States of America,Minnesota,V,0.012,,,,
Mecca Quarry shale,Vanadium,Shale-Hosted V,40.02,-87.53,United States of America,Indiana,V,0.012,,,,
Iron Mountain,Vanadium,Vanadiferous Titanomagnetite,41.37638889,-104.8347222,United States of America,Wyoming,V,0.012,,,,
Phosphoria Formation,Vanadium,Shale-Hosted V,42.7,-111.83,United States of America,Idaho,V,0.012,,,,
Gibellini,Vanadium,Shale-Hosted V,39.20833,-116.09,United States of America,Nevada,V,0.012,,,,
Carlin Vanadium,Vanadium,Shale-Hosted V,40.61393819,-116.1202577,United States of America,Nevada,V,0.012,,,,
"King Tut, Carrizo, Lukachukai",Vanadium,Sandstone-Hosted V,36.74166667,-109.0075,United States of America,New Mexico,V,0.012,,,,
"Mike, Pandora Mine",Vanadium,Sandstone-Hosted V,38.3125,-109.2483333,United States of America,Utah,V,0.012,,,,
"Slick Rock, Uravan",Vanadium,Sandstone-Hosted V,38.36861111,-108.7363889,United States of America,Colorado,V,0.012,,,,
McClure Mountain,Vanadium,Vanadiferous Titanomagnetite,38.34027778,-105.4227778,United States of America,Colorado,V,0.012,,,,
Buckmaster Draw,Vanadium,Sandstone-Hosted V,38.68083333,-110.0344444,United States of America,Utah,V,0.012,,,,
"Tony M, Frank M",Vanadium,Sandstone-Hosted V,38.10944444,-110.8138889,United States of America,Utah,V,0.012,,,,
Maracas,Vanadium,Vanadiferous Titanomagnetite,-13.40826944,-40.42744444,Brazil,,V,0.012,,,,
Tapajos,Vanadium,Vanadiferous Titanomagnetite,-3.608513889,-54.48749444,Brazil,,V,0.012,,,,
Stony Creek,Zirconium and Hafnium,Coastal placer or paleoplacer,36.944184,-77.399533,United States of America,"Stony Creek, Virginia","Zr, Hf",null,,,,
Seven Devils,Zirconium and Hafnium,Coastal placer or paleoplacer,43.255301,-124.36321,United States of America,"Coos Bay, Oregon","Zr, Hf",null,,,,
Coos Bay,Zirconium and Hafnium,Coastal placer or paleoplacer,43.358687,-124.203268,United States of America,"Coos Bay, Oregon","Zr, Hf",null,,,,
Tutunup South,Zirconium and Hafnium,Coastal placer or paleoplacer,-33.642134,115.615631,Australia,Perth Basin,"Zr, Hf",null,,,,
Douglas,Zirconium and Hafnium,Coastal placer or paleoplacer,-37.133702,141.778617,Australia,Murray Basin,"Zr, Hf",null,,,,
Coburn,Zirconium and Hafnium,Coastal placer or paleoplacer,-26.544734,114.046875,Australia,Perth Basin,"Zr, Hf",null,,,,
Keysbrook,Zirconium and Hafnium,Coastal placer or paleoplacer,-32.468979,115.979807,Australia,Perth Basin,"Zr, Hf",null,,,,
Kilimiraka,Zirconium and Hafnium,Coastal placer or paleoplacer,-11.817225,130.150478,Australia,Tiwi Island,"Zr, Hf",null,,,,
Lethbridge Bay,Zirconium and Hafnium,Coastal placer or paleoplacer,-11.365332,131.013095,Australia,Tiwi Island,"Zr, Hf",null,,,,
Kwale,Zirconium and Hafnium; Titanium,Coastal placer or paleoplacer; Sedimentary related,-4.419127,39.422672,Kenya,,"Ti, Zr, Hf",null,,,,
Namakwa,Zirconium and Hafnium; Titanium,Coastal placer or paleoplacer; Sedimentary related,-31.282015,17.901779,South Africa,,"Ti, Zr, Hf",null,,,,
Srikurmam,Zirconium and Hafnium,Coastal placer or paleoplacer,18.281875,84.076374,India,Andhra Pradesh,"Zr, Hf",null,,,,
Pulmoddai,Zirconium and Hafnium; Titanium,Coastal placer or paleoplacer,8.94075,80.985275,Sri Lanka,,"Ti, Zr, Hf",null,,,,
Guaju,Zirconium and Hafnium,Coastal placer or paleoplacer,-6.514908,-34.974306,Brazil,Paraiba,"Zr, Hf",null,,,,
Buena,Zirconium and Hafnium,Coastal placer or paleoplacer,-21.411053,-41.005243,Brazil,Rio de Janeiro,"Zr, Hf",null,,,,
Athabasca oil sands,Zirconium and Hafnium,Oil sands,57.032587,-111.616112,Canada,Alberta,"Zr, Hf",null,,,,
Bismarck Creek,Tin,Sn-polymetallic vein or polymetallic vein,62.42259659,-157.027033,United States of America,Alaska,Sn,0.00023,,,,
Cosna Dome,Tin,Plutonic related mesothermal sn veins,64.50847135,-151.9994427,United States of America,Alaska,Sn,0.00023,,,,
Won - North; Stockwork Zone; Standoff Ridge,Tin,Sn polymetallic,63.50339311,-155.6983908,United States of America,Alaska,Sn,0.00023,,,,
Won - South; Prospect Pit; Dog Day; Gash; Tin Ridge,Tin,Sn polymetallic,63.48139254,-155.7193904,United States of America,Alaska,Sn,0.00023,,,,
Win,Tin,Sn polymetallic,63.20038369,-155.8833839,United States of America,Alaska,Sn,0.00023,,,,
Groundhog Basin,Tin,Banded Ag-Cu-Sn-Pb-Zn tabular replacement bodies,56.51367052,-132.0649008,United States of America,Alaska,Sn,0.00023,,,,
Potato Mountain,Tin,Hydrothermal,65.66322733,-167.5567846,United States of America,Alaska,Sn,0.00023,,,,
Kankberg,Tellurium,Volcanogenic Massive Sulfide,64.87336155,20.38280581,Sweden,Vasterbotten County,Te,0.0000001,,,,
Almalyk,Tellurium,Te in Porphyry Cu,40.83151,69.66745,Uzbekistan,,Te,0.0000001,,,,
Ashanti,Tellurium,Te in Orogenic Au,7.96085,-1.20585,Ghana,,Te,0.0000001,,,,
Bodie Hills,Tellurium,Te in Epithermal Au-Ag,38.21,-119,United States of America,California,Te,0.0000001,,,,
Carlin,Tellurium,Te in Carlin-type Au,40.909334,-116.318286,United States of America,Nevada,Te,0.0000001,,,,
Commoner,Tellurium,Te in Orogenic Au,-18.422,29.44306,Zimbabwe,,Te,0.0000001,,,,
Cripple Creek,Tellurium,Te in Epithermal Au-Ag,38.73333,-105.15,United States of America,Colorado,Te,0.0000001,,,,
Cyprus,Tellurium,Volcanogenic Massive Sulfide,35.139138,32.844026,Cyprus,,Te,0.0000001,,,,
Deep Star,Tellurium,Te in Carlin-type Au,40.960899,-116.362654,United States of America,Nevada,Te,0.0000001,,,,
Ducktown,Tellurium,Te in Oil Sands,35.036,-83.036,United States of America,North Carolina,Te,0.0000001,,,,
El Indio,Tellurium,Te in Epithermal Au-Ag,-29.68,-69.97,Chile,,Te,0.0000001,,,,
Elatsite,Tellurium,Te in Porphyry Cu,42.74867,24.50182,Bulgaria,,Te,0.0000001,,,,
Emperor,Tellurium,Te in Epithermal Au-Ag,-17.49722,177.85072,Fiji,,Te,0.0000001,,,,
Fortitutde,Tellurium,Skarn,40.5483,-117.13244,United States of America,Nevada,Te,0.0000001,,,,
Getchell,Tellurium,Te in Carlin-type Au,41.221844,-117.252881,United States of America,Nevada,Te,0.0000001,,,,
Golden Mile,Tellurium,Te in Orogenic Au,-30.7461,121.53253,Australia,,Te,0.0000001,,,,
Golden Sunlight,Tellurium,Te in Epithermal Au-Ag,45.8988,-112.01417,United States of America,Montana,Te,0.0000001,,,,
Kochbulak,Tellurium,Te in Epithermal Au-Ag,41.13149,70.50073,Uzbekistan,,Te,0.0000001,,,,
Kumtor,Tellurium,Te in Orogenic Au,41.89812,77.58381,Kyrgyzstan,,Te,0.0000001,,,,
La Plata,Tellurium,Te in Porphyry Cu,37.3994,-108.0636,United States of America,Colorado,Te,0.0000001,,,,
Lone Pine,Tellurium,Te in Epithermal Au-Ag,33.2373,-108.71983,United States of America,New Mexico,Te,0.0000001,,,,
Meikle,Tellurium,Te in Carlin-type Au,41.003629,-116.381326,United States of America,Nevada,Te,0.0000001,,,,
Mount Milligan,Tellurium,Te in Porphyry Cu,55.12454,-124.02931,Canada,,Te,0.0000001,,,,
Pebble,Tellurium; Rhenium,Porphyry Cu-(Mo-Au),59.89881321,-155.2853776,United States of America,Alaska,"Te, Re",null,,,,
Porgera,Tellurium,Te in Epithermal Au-Ag,-5.46462,143.08219,Papua New Guinea,,Te,0.0000001,,,,
Pueblo Viejo,Tellurium,Te in Epithermal Au-Ag,18.94,-70.18,Dominican Republic,,Te,0.0000001,,,,
Rodalquilar,Tellurium,Te in Epithermal Au-Ag,38.86,-2.06,Spain,,Te,0.0000001,,,,
Sapo Alegre,Tellurium,Te in Porphyry Cu,18.19788,-66.67864,Puerto Rico,,Te,0.0000001,,,,
Sukhoi Log,Tellurium,Te in Orogenic Au,57.50778,114.09903,Russia,,Te,0.0000001,,,,
Ural Mountains,Tellurium,Volcanogenic Massive Sulfide,61.94384,96.57749,Russia,,Te,0.0000001,,,,
Zarshuran,Tellurium,Te in Carlin-type Au,36.66532,47.45128,Iran,,Te,0.0000001,,,,
Zortman-Landusky,Tellurium,Te in Epithermal Au-Ag,47.93743,-108.56328,United States of America,Montana,Te,0.0000001,,,,
Dashuigou,Tellurium,Te in Epithermal Au-Ag,29.17138889,102.185,China,,Te,0.0000001,,,,
Kalamazoo,Tellurium,Te in Porphyry Cu,32.69972222,-110.6777778,United States of America,Arizona,Te,0.0000001,,,,
Ortiz Mountains,Tellurium,Te in Epithermal Au-Ag,35.33617,-106.15085,United States of America,New Mexico,Te,0.0000001,,,,
Willow Creek district,Tellurium,Te in Orogenic Au,62.37507,-158.06919,United States of America,Alaska,Te,0.0000001,,,,
Baguio Lepanto,Tellurium,Te in Epithermal Au-Ag,16.86,120.78,Philippines,,Te,0.0000001,,,,
Bereznyakovskoe,Tellurium,Te in Epithermal Au-Ag,54.819399,61.148631,Russia,,Te,0.0000001,,,,
Ely,Tellurium,Te in Porphyry Cu,39.257123,-114.974229,United States of America,Nevada,Te,0.0000001,,,,
Grass Valley,Tellurium,Te in Orogenic Au,39.206199,-121.045773,United States of America,California,Te,0.0000001,,,,
Joplin,Tellurium,Mississippi Valley-type,37.083183,-94.513189,United States of America,Missouri,Te,0.0000001,,,,
Hedley,Tellurium,Skarn,49.370855,-120.047569,Canada,,Te,0.0000001,,,,
La Bambolla,Tellurium,Te in Orogenic Au,29.6912,-109.7131,Mexico,,Te,0.0000001,,,,
Leadville,Tellurium,Te in Oil Sands,39.248653,-106.27451,United States of America,Colorado,Te,0.0000001,,,,
Lihir,Tellurium,Te in Epithermal Au-Ag,-3.128812,152.635105,Papua New Guinea,,Te,0.0000001,,,,
Majiagou,Tellurium,Te in Epithermal Au-Ag,29.233167,102.356502,China,,Te,0.0000001,,,,
Metaliferi Mountains,Tellurium,Te in Epithermal Au-Ag,46.298084,23.120613,Romania,,Te,0.0000001,,,,
Mother Lode,Tellurium,Te in Orogenic Au,37.46456,-119.948248,United States of America,California,Te,0.0000001,,,,
Mt. Kare,Tellurium,Te in Epithermal Au-Ag,-5.509098,142.935565,Papua New Guinea,,Te,0.0000001,,,,
Kensington,Tellurium,Te in Orogenic Au,58.867323,-135.103979,United States of America,Alaska,Te,0.0000001,,,,
Patagonia Mountains,Tellurium,Te in Epithermal Au-Ag,31.47977768,-110.7373732,United States of America,Arizona,Te,0.0000001,,,,
Red Lake,Tellurium,Te in Orogenic Au,51.061527,-93.743921,Canada,,Te,0.0000001,,,,
Sandaowanzi,Tellurium,Te in Epithermal Au-Ag,50.366142,127.003915,China,,Te,0.0000001,,,,
Sentyabr-sky,Tellurium,Te in Epithermal Au-Ag,67.68333333,168.8666667,Russia,,Te,0.0000001,,,,
Skouriés,Tellurium,Te in Porphyry Cu,40.47222222,23.70361111,Greece,,Te,0.0000001,,,,
Stormont,Tellurium,Skarn,-41.49274211,146.0301295,Australia,,Te,0.0000001,,,,
Deer Horn,Tellurium,Te in Epithermal Au-Ag,53.3620072,-127.2891148,Canada,,Te,0.0000001,,,,
Geodo,Tellurium,Skarn,37.12978458,128.9065447,South Korea,,Te,0.0000001,,,,
La Ortosa,Tellurium,Skarn,43.37914887,-6.26972783,Spain,,Te,0.0000001,,,,
Antimony Line (Consolidated Murchison),Antimony,Simple Quartz-Stibnite,-23.89669,30.53139,South Africa,,Sb,0.00002,,,,
Bau,Antimony,Deposit type unclassified,2.5943,113.30325,Malaysia,,Sb,0.00002,,,,
Chatkal Range,Antimony,Deposit type unclassified,41.37318,70.93572,Kyrgyzstan,,Sb,0.00002,,,,
Eagle Creek,Antimony,Deposit type unclassified,58.30614,-134.46645,United States of America,Alaska,Sb,0.00002,,,,
"Jijikrut, Chulboi",Antimony,Deposit type unclassified,-21.33089,-66.01611,Bolivia,,Sb,0.00002,,,,
"Kharma, Chilcobija",Antimony,Au-Sb,-19.76232,-65.8425,Bolivia,,Sb,0.00002,,,,
Krupanj-Zajaca,Antimony,Deposit type unclassified,44.44871,19.25193,Serbia,,Sb,0.00002,,,,
McLaughlin,Antimony,Deposit type unclassified,38.83705,-122.3613,United States of America,California,Sb,0.00002,,,,
Tupiza area,Antimony,Deposit type unclassified,-22.75586,-66.08277,Argentina,,Sb,0.00002,,,,
Yellow Pine,Antimony,Deposit type unclassified,44.92682,-115.33263,United States of America,Idaho,Sb,0.00002,,,,
Bawdin,Antimony,Deposit type unclassified,23.06605,97.43318,Myanmar,,Sb,0.00002,,,,
Costerfield,Antimony,Simple Sb,-36.884632,144.791137,Australia,,Sb,0.00002,,,,
Stadtschlaining,Antimony,Deposit type unclassified,47.345078,16.278495,Austria,,Sb,0.00002,,,,
Turhal,Antimony,Deposit type unclassified,39.99861,36.00158,Turkey,,Sb,0.00002,,,,
Workman’s Bench,Antimony,Deposit type unclassified,67.4689,-150.2241,United States of America,Alaska,Sb,0.00002,,,,
Xikuangshan,Antimony,Simple Quartz-Stibnite,27.78333333,111.4833333,China,,Sb,0.00002,,,,
Alto do Sobrido,Antimony,Au-Sb,41.07414597,-8.43371257,Portugal,,Sb,0.00002,,,,
Bolivian antimony belt,Antimony,Au-Sb,-18.68073662,-66.55354165,Bolivia,,Sb,0.00002,,,,
Yinshan belt,Antimony,Deposit type unclassified,41.45271496,110.205758,China,,Sb,0.00002,,,,
Dubbo,Niobium and Tantalum; Rare-Earth Elements,Alkaline granite and syenite; Peralkaline,-32.42,148.6,Australia,New South Wales,"Nb, Ta, REE",null,,,,
Kougarok,Niobium and Tantalum; Tin,Rare-metal granite; Sn greisen,65.7103,-165.2289,United States of America,Alaska,"Sn, Nb, Ta",null,,,,
Magpie Mountain,Titanium; Vanadium,Layered mafic intrusion; Vanadiferous Titanomagnetite,51.38,-64.07,Canada,,"Ti, V",null,,,,
Mount Cattlin,Beryllium; Niobium and Tantalum,Pegmatite; Lithium-Cesium-Tantalum type pegmatite,-33.56,120.04,Australia,,"Be, Nb, Ta",null,,,,
Mountain Pass,Barite; Rare-Earth Elements,"Vein, cavity-fill, metasomatic; Carbonatite",35.48086606,-115.5339879,United States of America,California,"BaSO4, REE",null,,,,
Red Dog,Barite; Gallium; Germanium,Bedded-sedimentary; Ga in Clastic-dominated Pb-Zn; Sedimentary exhalative Pb-Zn,68.061326,-162.856706,United States of America,Alaska,"BaSO4, Ge",null,,,,
San Gabriel Mountains,Vanadium; Titanium,Vanadiferous Titanomagnetite; Magmatic deposits in igneous and related rocks,34.37,-118.3,United States of America,California,"Ti, V",null,,,,
Sleitat Mountain,Tin,Sn greisen,60.05,-157.08,United States of America,Alaska,Sn,0.00023,,,,
Spor Mountain,Beryllium; Fluorite,Volcanogenic-hosted Be; Peralkaline to Alkaline-Intrusion-Related F,39.72164313,-113.1970789,United States of America,Utah,"Be, CaF2'",null,,,,
Spruce Pine,Beryllium; Lithium,Non-pegmatite; Li-Cs-Ta type pegmatite,35.942922,-82.08268,United States of America,North Carolina,"Be, Li",null,,,,
Stillwater Complex,Tellurium; Platinum-Group Elements,"Magmatic Cu-Ni-PGM Sulfide; Reef, sulfide",45.38941469,-109.8752667,United States of America,Montana,"PGE, Te",null,,,,
Strange Lake,Beryllium; Niobium and Tantalum; Rare-Earth Elements,Peralkaline intrusion Be,56.3,-64.12,Canada,Quebec/Labrador,"Nb, Ta, Be, REE",null,,,,
Thor Lake,Beryllium; Niobium and Tantalum; Rare-Earth Elements,Peralkaline intrusion Be,62.11,-112.6,Canada,,"Nb, Ta, Be, REE",null,,,,
White Picacho,Beryllium; Lithium,Pegmatite,33.9629494,-112.5717225,United States of America,Arizona,"Be, Li",null,,,,
Wodgina,Beryllium; Lithium; Niobium and Tantalum,Pegmatite; Li-Cs-Ta type pegmatite,-21.18,118.68,Australia,,"Be, Li, Nb, Ta",null,,,,
Mount Lindsay,Beryllium; Tin,Non-pegmatite; Hydrothermal,-41.75,145.36,Australia,Tasmania,"Sn, Be",null,,,,
Kings Valley,Lithium,Li-Clay,41.88550668,-118.1419414,United States of America,Nevada,Li,0.002,,,,
Ertsberg,Tellurium,Skarn,-4.055814,137.113136,Indonesia,,Te,0.0000001,,,,
Chordi,Barite,"Vein, cavity-fill, metasomatic",42.5,43.68333333,Georgia,,BaSO4,null,,,,
Black Hills,Beryllium; Lithium; Tellurium,Be Type Rare-Metal Pegmatite; Te in Epithermal Au-Ag,44.11298102,-103.8134298,United States of America,South Dakota,"Be, Li, Te",null,,,,
Cuyuna Range,Manganese,Deposit type unclassified,46.37782673,-94.02764296,United States of America,Minnesota,Mn,0.095,,,,
Aroostook County,Manganese,Deposit type unclassified,46.71195318,-68.15443288,United States of America,Maine,Mn,0.095,,,,
Cape Mountain,Tin,Deposit type unclassified,65.58066412,-168.0179102,United States of America,Alaska,Sn,0.00023,,,,
Tofty,Tin,Deposit type unclassified,64.85909173,-150.3431863,United States of America,Alaska,Sn,0.00023,,,,
Sithylemenkat,Tin,Deposit type unclassified,66.14184399,-152.4729352,United States of America,Alaska,Sn,0.00023,,,,
Lime Peak,Tin,Deposit type unclassified,65.65305104,-145.3211744,United States of America,Alaska,Sn,0.00023,,,,
Circle Hot Springs,Tin,Deposit type unclassified,65.27790975,-144.5468938,United States of America,Alaska,Sn,0.00023,,,,
Coal Creek,Tin,Deposit type unclassified,62.91284812,-149.8880019,United States of America,Alaska,Sn,0.00023,,,,
Galmoy,Gallium,Ga in Mississippi Valley-type Pb-Zn,52.8,-7.59,Ireland,,Ga,0.0019,,,,
Trail Ridge,Titanium; Zirconium and Hafnium,Beach (strandline) and (or) coastal dune; Coastal placer or paleoplacer,30.01357146,-82.04001421,United States of America,Florida,"Ti, Zr, Hf",null,,,,
Barrambie,Titanium; Vanadium,Vanadiferous Titanomagnetite; Magmatic deposits in igneous and related rocks,-27.416072,119.112081,Australia,,"Ti, V",null,,,,
Bikita,Lithium; Beryllium,Be Type Rare-Metal Pegmatite,-19.960944,31.427969,Zimbabwe,,"Be, Li",null,,,,
Catalao No. 1 Mine,Niobium and Tantalum; Titanium,Carbonatite; Weathered alkalic rocks,-18.13,-47.79972,Brazil,,"Nb, Ta, Ti",null,,,,
El Teniente,Rhenium; Titanium,Porphyry Cu-(Mo-Au),-34.087583,-70.458073,Chile,,"Re, Ti",null,,,,
Eneabba,Zirconium and Hafnium; Titanium,Coastal placer or paleoplacer,-29.87266291,115.2841489,Australia,Perth Basin,"Ti, Zr, Hf",null,,,,
Bolivar deposit,Indium,Polymetallic Sn veins,-18.4027764,-66.75611668,Bolivia,,In,0.000025,,,,
Porco deposit,Indium,Polymetallic Sn veins,-19.7055313,-65.9768432,Bolivia,,In,0.000025,,,,
Huari Huari deposit,Indium,Polymetallic Sn veins,-19.29507428,-65.64371865,Bolivia,,In,0.000025,,,,
Potosi deposit,Indium,Polymetallic Sn veins,-19.53302038,-65.72699979,Bolivia,,In,0.000025,,,,
